station,date,lat,lon
1,08.12.2020 08:00,47.25138888888889,-10.176388888888889
3,14.12.2020 00:24,31.280555555555555,-25.00277777777778
4,16.12.2020 05:17,31.03111111111111,-29.533055555555556
5,18.12.2020 11:50,31.139166666666668,-34.07083333333333
6,20.12.2020 06:36,33.44694444444444,-34.620555555555555
7,21.12.2020 14:07,33.30222222222222,-33.952777777777776
9,27.12.2020 07:51,35.00055555555556,-21.26
