EXPOCODE,Cruise_ID,Sample_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Latitude,Longitude,Depth,Temperature,Salinity,Salinity_flag,DIC,DIC_flag,TA,TA_flag,Silicate,Silicate_flag,Phosphate,Phosphate_flag,Nitrate,Nitrate_flag,Nitrite,Nitrite_flag,Nitrate_and_Nitrite,Nitrate_and_Nitrite_flag,Ammonium,Ammonium_flag
06SN20201204,SO279,11,2020,12,16,11:10:00,31.034444444444443,-29.532222222222224,3,20.5804,36.95593622648535,2.0,2109.816508919732,2.0,2411.730567600345,2.0,0.5428322029067454,2.0,0.0107202050843342,2.0,0.0311860511544269,2.0,0.012182051232198,2.0,0.043368102386625,2.0,0.2611831784183263,2.0
06SN20201204,SO279,12,2020,12,17,13:49:00,31.445,-29.67083333333333,3,20.472,36.96692508668649,2.0,2102.673185035006,2.0,2410.395137333449,2.0,0.5530447811692427,2.0,0.0048726412437818,3.0,0.0613952796716515,2.0,0.0126688672338328,2.0,0.0740641469054844,2.0,0.213421686477646,2.0
06SN20201204,SO279,13,2020,12,17,20:52:00,31.48972222222222,-30.479444444444443,3,20.3899,36.98362391430306,2.0,2106.538399839882,2.0,2410.564194701647,3.0,0.5608219229353224,2.0,0.0077959607010991,2.0,0.0584697052582438,2.0,0.0131556836831048,2.0,0.0716253889413486,2.0,0.1681004026174511,2.0
06SN20201204,SO279,14,2020,12,18,10:52:00,31.35083333333333,-33.84638888888889,3,21.6063,-999.0,9.0,2122.137662892861,2.0,2431.991739378469,2.0,-999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0,9.0
06SN20201204,SO279,15,2020,12,18,22:32:00,31.236944444444447,-33.95166666666666,3,21.7027,37.33140678730589,2.0,2115.832794293852,3.0,2442.3947025970747,3.0,0.5175055574278828,2.0,0.0068221071600662,2.0,0.0360597092746358,2.0,0.0155933877944371,2.0,0.051653097069073,2.0,0.185171480058941,2.0
06SN20201204,SO279,16,2020,12,19,10:42:00,31.459444444444447,-34.10972222222222,3,21.3263,37.22152318008652,2.0,2107.2164915719823,2.0,2424.548697839123,3.0,0.5238294016960441,2.0,0.0087710969586313,2.0,0.4010340442752039,2.0,0.0170549107528944,2.0,0.4180889550280984,2.0,0.1569051789266289,2.0
06SN20201204,SO279,17,2020,12,19,16:22:00,31.42833333333333,-34.09222222222222,3,21.3548,37.18510794182495,2.0,2110.8607557081777,2.0,2407.9436917115663,3.0,0.5277460078485584,2.0,0.0077968015933304,3.0,0.1271853259912037,2.0,0.0165682033858272,2.0,0.1437535293770311,2.0,0.2914054595507275,2.0
06SN20201204,SO279,18,2020,12,19,16:52:00,31.48111111111111,-34.14444444444444,3,21.3546,37.18476642074928,2.0,2122.663776431371,3.0,2423.682991478998,2.0,0.5253096120761649,2.0,0.0068222027542358,2.0,0.3035880225634979,2.0,0.0389840157384908,3.0,0.3425720383019888,2.0,0.2938420186288751,2.0
06SN20201204,SO279,19,2020,12,19,17:22:00,31.53388888888889,-34.19694444444444,3,21.3566,37.18357310002837,2.0,2114.250918706497,2.0,2424.7025484759924,2.0,0.5272595656683996,2.0,0.0063349116023005,3.0,0.4254136791391061,2.0,0.043857080323619,3.0,0.4692707594627253,2.0,0.3659629702559778,2.0
06SN20201204,SO279,20,2020,12,19,17:52:00,31.564444444444444,-34.223055555555554,3,21.3663,37.18272655455316,2.0,2110.6959564606386,2.0,2424.699658305891,2.0,0.523850165548232,2.0,0.005847629754957,3.0,0.1681193554550139,2.0,0.0190047967036102,2.0,0.1871241521586242,2.0,0.1842003372811457,2.0
