date_time,salinity,temperature,latitude,longitude,salinity_flag,density,total_phosphate,total_ammonia,total_silicate,total_nitrate_nitrite,total_nitrite,total_nitrate,Phosphate_flag,Ammonium_flag,Nitrate_and_Nitrite_flag,Nitrite_flag,Nitrate_flag,Silicate_flag,sample,depth,tco2,internal_flag_tco2,duplicate_difference_tco2,n_duplicates_tco2,flag_tco2,talk,internal_flag_talk,duplicate_difference_talk,n_duplicates_talk,pH_initial_talk,flag_talk,EXPOCODE,Cruise_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC
2020-12-08 22:24:00,35.756005,13.4435,47.25180555555555,-10.181111111111113,2.0,1.0268887787426109,0.1353603213706166,0.277050414264565,1.070709931989271,1.8497620066092175,0.1562973328259964,1.6934646737832213,2.0,2.0,2.0,2.0,2.0,3.0,1,3,2121.4392256048595,2.0,0.5652057763313678,2.0,2.0,2346.147797594931,2.0,0.4139216180324183,2.0,7.974139388542207,2.0,06SN20201204,SO279,2020,12,8,22:24:00
2020-12-09 08:10:00,35.81310775970076,13.7981,47.43888888888889,-10.514444444444443,2.0,1.0268590972036786,0.1611710900265539,0.199150984353053,0.8740244912316143,2.047992763298145,0.2259316790704563,1.8220610842276883,2.0,2.0,2.0,2.0,2.0,2.0,2,3,2124.331386188247,2.0,11.73911126995199,2.0,2.0,2347.329119815846,2.0,1.0339529963034693,2.0,7.986573442720272,2.0,06SN20201204,SO279,2020,12,9,08:10:00
2020-12-09 14:08:00,35.7670398297639,13.5952,47.25527777777778,-10.181944444444444,2.0,1.026865866680544,0.2113226342808298,0.4060900391479541,0.9782192909451316,2.9969834423928745,0.2254432711336962,2.7715401712591783,2.0,2.0,2.0,2.0,2.0,2.0,3,3,2118.1713698571552,3.0,,1.0,3.0,2354.611837267764,3.0,,1.0,7.978739047039366,3.0,06SN20201204,SO279,2020,12,9,14:08:00
2020-12-11 20:21:00,36.45132964667912,16.7124,38.82972222222222,-18.49222222222222,2.0,1.0266984865011886,0.0788936587176961,0.6418632233945901,0.6998159726995645,0.7110169242459041,0.0935035955172695,0.6175133287286345,2.0,2.0,2.0,2.0,2.0,2.0,4,3,2110.413801034525,2.0,2.9878269092614573,2.0,2.0,2372.362977521733,2.0,8.28575165511711,2.0,8.039097033775782,2.0,06SN20201204,SO279,2020,12,11,20:21:00
2020-12-12 09:27:00,36.689727370721975,18.1357,36.748333333333335,-20.40194444444444,2.0,1.0265341299334323,0.0136381242393838,0.1621962632755298,0.5854651905621229,0.1203077388259936,0.0073061379853842,0.1130016008406094,2.0,2.0,2.0,2.0,2.0,2.0,5,3,2111.0808421534493,3.0,0.8182166672809217,2.0,2.0,2385.012169027733,2.0,7.0107388109436215,2.0,8.06182902138247,2.0,06SN20201204,SO279,2020,12,12,09:27:00
2020-12-12 22:12:00,36.94018882349032,19.4297,34.47138888888889,-22.183333333333334,2.0,1.0263944685320894,0.029715670665704,0.2065482682337467,0.5441377726818284,0.0871984434288695,0.0116914114094573,0.0755070320194121,2.0,2.0,2.0,2.0,2.0,2.0,6,3,2104.934625710301,3.0,,1.0,3.0,2400.3354453194597,2.5,2.7470127913056785,2.0,8.078955078925418,2.0,06SN20201204,SO279,2020,12,12,22:12:00
2020-12-13 10:28:00,37.10145723908936,20.5789,32.24194444444444,-24.18305555555556,2.0,1.0262111858283298,0.0077956663408834,0.097445829261043,0.5413115815450944,0.0750332885310031,0.0048722914630521,0.070160997067951,2.0,2.0,2.0,2.0,2.0,2.0,7,3,2113.538565853441,2.0,5.230105415007074,2.0,2.0,2417.659313272141,2.0,3.0491746525144663,2.0,8.097692107996574,2.0,06SN20201204,SO279,2020,12,13,10:28:00
2020-12-13 22:08:00,37.2100543619702,20.7195,31.459722222222226,-24.694722222222225,2.0,1.02625575119755,0.0082825358007311,0.2616306897054502,0.528620667281962,0.0506696307809437,0.0087697437890094,0.0418998869919342,2.0,2.0,2.0,2.0,2.0,2.0,8,3,2119.0501757837824,2.0,12.463016939128464,2.0,2.0,2420.8012187475474,2.0,1.833729016362668,2.0,8.099038719439577,2.0,06SN20201204,SO279,2020,12,13,22:08:00
2020-12-14 07:28:00,37.13104193129576,20.6698,31.281944444444445,-24.99805555555556,2.0,1.026209034973265,0.0043850715074996,0.2192535753749835,0.5305936524074604,0.0638271519424951,0.012180754187499,0.0516463977549961,3.0,2.0,2.0,2.0,2.0,2.0,9,3,2110.9666426030926,2.0,3.1241973793098623,2.0,2.0,2421.806207805618,2.0,4.205458684551104,2.0,8.095785647496102,2.0,06SN20201204,SO279,2020,12,14,07:28:00
2020-12-15 21:43:00,37.0753134615236,21.433,31.22361111111111,-28.44,2.0,1.0259563811985022,0.0077976024581615,0.1949400614540395,0.4922236551714497,0.0696910719698191,0.0082849526117966,0.0614061193580224,2.0,2.0,2.0,2.0,2.0,2.0,10,3,2118.466598502968,2.0,0.2419045889405424,2.0,2.0,2430.327289291444,2.5,3.2400897765141963,2.0,8.098194945493976,2.0,06SN20201204,SO279,2020,12,15,21:43:00
2020-12-16 11:10:00,36.95593622648535,20.5804,31.034444444444443,-29.532222222222224,2.0,1.026099772668956,0.0107202050843342,0.2611831784183263,0.5428322029067454,0.043368102386625,0.012182051232198,0.0311860511544269,2.0,2.0,2.0,2.0,2.0,2.0,11,3,2109.816508919732,2.0,4.162404652823625,2.0,2.0,2411.730567600345,2.0,2.318700478274877,2.0,8.09985302558101,2.0,06SN20201204,SO279,2020,12,16,11:10:00
2020-12-17 13:49:00,36.96692508668649,20.472,31.445,-29.67083333333333,2.0,1.0261375196420737,0.0048726412437818,0.213421686477646,0.5530447811692427,0.0740641469054844,0.0126688672338328,0.0613952796716515,3.0,2.0,2.0,2.0,2.0,2.0,12,3,2102.673185035006,3.0,3.262227230278313,2.0,2.0,2410.395137333449,2.0,2.187386938178861,2.0,8.09855670558564,2.0,06SN20201204,SO279,2020,12,17,13:49:00
2020-12-17 20:52:00,36.98362391430306,20.3899,31.48972222222222,-30.479444444444443,2.0,1.026172438102728,0.0077959607010991,0.1681004026174511,0.5608219229353224,0.0716253889413486,0.0131556836831048,0.0584697052582438,2.0,2.0,2.0,2.0,2.0,2.0,13,3,2106.538399839882,3.0,1.7726675426119982,2.0,2.0,2410.564194701647,3.0,,1.0,8.094336145985475,3.0,06SN20201204,SO279,2020,12,17,20:52:00
2020-12-18 10:52:00,,21.6063,31.35083333333333,-33.84638888888889,9.0,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,14,3,2122.137662892861,2.0,8.109738005081908,2.0,2.0,2431.991739378469,2.0,2.6402975381624856,2.0,8.103883561919375,2.0,06SN20201204,SO279,2020,12,18,10:52:00
2020-12-18 22:32:00,37.33140678730589,21.7027,31.236944444444447,-33.95166666666666,2.0,1.0260759375014012,0.0068221071600662,0.185171480058941,0.5175055574278828,0.051653097069073,0.0155933877944371,0.0360597092746358,2.0,2.0,2.0,2.0,2.0,2.0,15,3,2115.832794293852,3.0,2.941250349233087,2.0,3.0,2442.3947025970747,3.0,,1.0,8.106362396648024,3.0,06SN20201204,SO279,2020,12,18,22:32:00
