date_time,salinity,temperature,latitude,longitude,salinity_flag,total_phosphate,total_ammonium,total_silicate,total_nitrate_nitrite,total_nitrite,total_nitrate,density,Phosphate_flag,Ammonium_flag,Nitrate_and_Nitrite_flag,Nitrite_flag,Nitrate_flag,Silicate_flag,sample,depth,tco2,internal_flag_tco2,duplicate_difference_tco2,n_duplicates_tco2,flag_tco2,talk,internal_flag_talk,duplicate_difference_talk,n_duplicates_talk,pH_initial_talk,flag_talk
2020-12-08 22:24:00,35.756005,13.4435,47.25180555555555,-10.181111111111111,2.0,0.13567477529626745,0.2776939936421525,1.0731973472069616,1.854059067232816,0.1566604053398313,1.6973986618929844,1.0245087117885205,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2121.437468485,2.0,0.5685632938561866,2.0,2.0,2346.1477831128614,2.0,0.4139536547163516,2.0,7.974139386983446,2.0
2020-12-09 08:10:00,35.81310775970076,13.7981,47.43888888888889,-10.514444444444443,2.0,0.1615340103180167,0.1995994266467337,0.8759925937185502,2.052604372802352,0.22644042534005976,1.8261639474622926,1.024552041233764,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2124.3297320093175,2.0,11.742420143159507,2.0,2.0,2347.3291065582357,2.0,1.0339235636438389,2.0,7.986573442616024,2.0
2020-12-09 14:08:00,35.7670398297639,13.5952,47.25527777777778,-10.181944444444444,2.0,0.21180710717481485,0.4070210308382388,0.9804619315995463,3.003854250370935,0.2259601166404131,2.7778941337305216,1.024517084881855,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2118.171494396686,3.0,,1.0,3.0,2354.611841469906,3.0,,1.0,7.978739056458095,3.0
2020-12-11 20:21:00,36.45132964667912,16.7124,38.82972222222222,-18.49222222222222,2.0,0.07902158253637585,0.642903986314466,0.7009507043504457,0.7121698179204252,0.09365520893200105,0.6185146089884239,1.0250364191670465,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2110.413083255512,2.0,2.985682837832883,2.0,2.0,2372.362968309051,2.0,8.285776104958131,2.0,8.039097031094371,2.0
2020-12-12 09:27:00,36.68972737072198,18.1357,36.748333333333335,-20.40194444444444,2.0,0.01365564030216365,0.1624045793078756,0.5862171301143139,0.12046225552265845,0.00731552159044475,0.11314673393221361,1.0252173966373237,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2111.080969816183,3.0,0.818466315648493,2.0,2.0,2385.0121703527047,2.0,7.010737197878825,2.0,8.061829021708478,2.0
2020-12-12 22:12:00,36.94018882349032,19.4297,34.47138888888889,-22.183333333333334,2.0,0.0297442706836338,0.20674706180099583,0.5446614812068691,0.08728236807164685,0.01170266387552805,0.0755797041961187,1.0254075591364886,2.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,2104.9334168628607,3.0,,1.0,3.0,2400.3354413865272,2.5,2.7470211267304876,2.0,8.078955077352617,2.0
2020-12-13 10:28:00,37.10145723908936,20.5789,32.24194444444444,-24.18305555555556,2.0,0.0078008443149814,0.0975105539372686,0.5416711271215273,0.0750831265316968,0.0048755276968634,0.07020759883483339,1.0255300166208972,2.0,2.0,2.0,2.0,2.0,2.0,7.0,3.0,2113.5386532244756,2.0,5.2299000413931935,2.0,2.0,2417.6593142319493,2.0,3.049176792333128,2.0,8.097692108142908,2.0
2020-12-13 22:08:00,37.2100543619702,20.7195,31.459722222222226,-24.694722222222225,2.0,0.0082877306220717,0.26179478494426667,0.5289522191145799,0.05070141086443895,0.0087752441880759,0.041926166676362994,1.02561248520348,2.0,2.0,2.0,2.0,2.0,2.0,8.0,3.0,2119.04909145484,2.0,12.465180499421422,2.0,2.0,2420.8012101181266,2.0,1.8337118882132017,2.0,8.099038715594052,2.0
2020-12-14 07:28:00,37.13104193129576,20.6698,31.281944444444445,-24.99805555555556,2.0,0.00438787880281045,0.21939394014052338,0.5309333351400667,0.06386801368535236,0.012188552230029,0.05167946145532325,1.0255524826979534,3.0,2.0,2.0,2.0,2.0,2.0,9.0,3.0,2110.966834673557,2.0,3.123898435632782,2.0,2.0,2421.8062094630595,2.0,4.205456110219075,2.0,8.095785647733528,2.0
2020-12-15 21:43:00,37.075313461523606,21.433,31.22361111111111,-28.44,2.0,0.0078009953310314,0.19502488327578596,0.49243783027135957,0.06972139577109346,0.00828855753922085,0.061432838231872545,1.0255101638347282,2.0,2.0,2.0,2.0,2.0,2.0,10.0,3.0,2118.464381175193,2.0,0.24621955073189383,2.0,2.0,2430.32727197812,2.5,3.2401236930600135,2.0,8.098194937747959,2.0
2020-12-16 11:10:00,36.95593622648536,20.5804,31.034444444444443,-29.532222222222224,2.0,0.0107273167963214,0.26135644558310517,0.543192314141006,0.0433968724942096,0.0121901327230925,0.031206739771116997,1.0254195162551762,2.0,2.0,2.0,2.0,2.0,2.0,11.0,3.0,2109.8158465044376,2.0,4.161231338385733,2.0,2.0,2411.730562443499,2.0,2.318709324577867,2.0,8.099853023256765,2.0
2020-12-17 13:49:00,36.96692508668649,20.472,31.445,-29.67083333333333,2.0,0.00487601341240935,0.2135693874635325,0.553427522308469,0.0741154038686231,0.01267763487226445,0.06143776899635865,1.025427860242352,3.0,2.0,2.0,2.0,2.0,2.0,12.0,3.0,2102.672388053812,3.0,3.2606228240488235,2.0,2.0,2410.3951315791765,2.0,2.1873751121852365,2.0,8.09855670280443,2.0
