bottle,station,cast,niskin,depth,counts,run_time,dic_cell_id,dbs_fname,analysis_datetime,analysis_datenum,salinity,dic_certified,alkalinity_certified,total_phosphate,total_silicate,total_ammonium,crm,crm_batch_189,temperature_override,file_good,station_r,niskin_r,duplicate,stncode,analyte_volume,file_path,analysis_batch,blank_good,k_dic_good,reference_good,logfile_index,blank_here,blank_here_min,blank_here_max,blank_here_std,blank_here_count,analysis_datenum_scaled,blank,counts_corrected,temperature_analysis_dic,density_analysis_dic,k_dic_here,k_dic,dic,dic_offset,file_name,analyte_mass,titrant_molinity_here,titrant_molinity,alkalinity,alkalinity_gran,alkalinity_gran_estimate,alkalinity_npts,alkalinity_std,emf0,emf0_gran,emf0_gran_estimate,pH_initial,temperature_initial,alkalinity_offset,pH_alk_dic_25,flag_talk,flag_tco2
mock7,0,0.0,0.0,0,230043.0,16.0,C_Mar04-21_1103,data/VINDTA/SO279.dbs,2021-03-04 15:47:00,18690.65763888889,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158545,39.54545454545455,18.0,50.0,10.07574618363448,11.0,0.9939178681768327,39.263792125957934,229414.77932598468,25.0,1.0233430585162893,,,,,0-0  0  (0)mock7.dat,,,,,,,0.0,,,,,,,,,2,2
mock8,0,0.0,0.0,0,230230.0,16.0,C_Mar04-21_1103,data/VINDTA/SO279.dbs,2021-03-04 16:09:00,18690.672916666666,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158569,33.81818181818182,27.0,50.0,6.249628088108078,11.0,1.3389465561198846,36.25619267111142,229649.90091726222,25.0,1.0233430585162893,,,,,0-0  0  (0)mock8.dat,,,,,,,0.0,,,,,,,,,2,2
test1,0,0.0,0.0,0,227908.0,16.0,C_Mar05-21_0903,data/VINDTA/SO279.dbs,2021-03-05 09:36:00,18691.4,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158615,101.54545454545455,34.0,239.0,55.41309926585891,11.0,-0.9838698882094601,53.9721157586215,227044.44614786207,25.0,1.0233430585162893,,,,,0-0  0  (0)test1.dat,,,,,,,0.0,,,,,,,,,2,2
test2,0,0.0,0.0,0,227649.0,16.0,C_Mar05-21_0903,data/VINDTA/SO279.dbs,2021-03-05 10:01:00,18691.41736111111,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158639,57.45454545454545,22.0,114.0,25.871583696697165,11.0,-0.9724401729664561,60.616375473012454,226679.1379924318,25.0,1.0233430585162893,,,,,0-0  0  (0)test2.dat,,,,,,,0.0,,,,,,,,,2,2
test4,0,0.0,0.0,0,227555.0,16.0,C_Mar05-21_0903,data/VINDTA/SO279.dbs,2021-03-05 10:39:00,18691.44375,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158670,43.81818181818182,20.0,75.0,14.99586719926031,11.0,-0.9550670057963238,70.41022013788563,226428.43647779382,25.0,1.0233430585162893,,,,,0-0  0  (0)test4.dat,,,,,,,0.0,,,,,,,,,2,2
test6,0,0.0,0.0,0,227791.0,16.0,C_Mar05-21_0903,data/VINDTA/SO279.dbs,2021-03-05 11:11:00,18691.46597222222,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158700,53.45454545454545,6.0,104.0,30.236533099618043,11.0,-0.9404369702841291,78.37782190192593,226536.95484956919,25.0,1.0233430585162893,,,,,0-0  0  (0)test6.dat,,,,,,,0.0,,,,,,,,,2,2
jay1,0,0.0,0.0,0,229414.0,16.0,C_Mar05-21_0903,data/VINDTA/SO279.dbs,2021-03-05 11:39:00,18691.485416666666,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158724,61.36363636363637,12.0,94.0,25.814980595392587,11.0,-0.9276356892097612,85.14408869450392,228051.69458088794,25.0,1.0233430585162893,,,,,0-0  0  (0)jay1.dat,,,,,,,0.0,,,,,,,,,2,2
jay2,0,0.0,0.0,0,229632.0,16.0,C_Mar05-21_0903,data/VINDTA/SO279.dbs,2021-03-05 12:00:00,18691.5,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158748,80.45454545454545,42.0,106.0,19.713233378822814,11.0,-0.9180347284045842,90.09522422627549,228190.4764123796,25.0,1.0233430585162893,,,,,0-0  0  (0)jay2.dat,,,,,,,0.0,,,,,,,,,2,2
jay3,0,0.0,0.0,0,229907.0,16.0,C_Mar05-21_0903,data/VINDTA/SO279.dbs,2021-03-05 12:21:00,18691.514583333334,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158772,93.81818181818181,28.0,159.0,53.771939593093585,11.0,-0.9084337675994071,94.94207403318399,228387.92681546905,25.0,1.0233430585162893,,,,,0-0  0  (0)jay3.dat,,,,,,,0.0,,,,,,,,,2,2
jay4,0,0.0,0.0,0,229866.0,16.0,C_Mar05-21_0903,data/VINDTA/SO279.dbs,2021-03-05 12:44:00,18691.530555555557,35.0,,,0.0,0.0,0.0,False,False,25.0,True,0,0,0,000,95.939,data/VINDTA/SO279/,0,True,False,False,158796,105.0,24.0,183.0,49.365059413608435,11.0,-0.897918429574119,100.13257862922467,228263.8787419324,25.0,1.0233430585162893,,,,,0-0  0  (0)jay4.dat,,,,,,,0.0,,,,,,,,,2,2
