date,latitude,longitude,sample,depth,salinity,temperature,total_phosphate,total_silicate,total_ammonia,total_nitrate_nitrite,total_nitrite,total_nitrate,talk,flag_talk,internal_flag_talk,duplicate_difference_talk,n_duplicates_talk,tco2,flag_tco2,internal_flag_tco2,duplicate_difference_tco2,n_duplicates_tco2,pH_initial_talk,date_time,pH_optode,pH_total_talk_tco2_insitu_temp,pH_total_initial_talk_tco2_insitu_temp,offset,pH_initial_talk_corr,diff
2020-12-08 22:24:00,47.25180555555555,-10.181111111111113,1,3,35.756005,13.4435,0.139,1.0995,0.2845,1.8995,0.1605,1.739,2346.1478223874674,2.0,2.0,0.413930868425723,2.0,2121.43851974622,2.0,2.0,0.566604865825866,2.0,7.974139457049543,2020-12-08 22:24:00,8.074557525015514,8.070859073924346,8.040996949597766,0.02986212432658064,8.065615515614333,0.008942009401181394
2020-12-09 08:10:00,47.43888888888889,-10.514444444444443,2,3,35.81310775970076,13.7981,0.1654999999999999,0.8975,0.2045,2.103,0.232,1.871,2347.329148862162,2.0,2.0,1.033953969288632,2.0,2124.330687389445,2.0,2.0,11.74042894197646,2.0,7.986573525344721,2020-12-09 08:10:00,8.081046931541273,8.060776262097516,8.047994713171006,0.012781548926509956,8.072613279187573,0.008433652353700083
2020-12-09 14:08:00,47.25527777777778,-10.181944444444444,3,3,35.7670398297639,13.5952,0.217,1.0045,0.417,3.0775,0.2315,2.846,2354.611892241252,3.0,3.0,,1.0,2118.1718675149978,3.0,3.0,,1.0,7.978739163809469,2020-12-09 14:08:00,8.076378070701692,8.090232660046354,8.043258199317517,0.04697446072883693,8.067876765334084,0.008501305367607515
2020-12-11 20:21:00,38.82972222222222,-18.49222222222222,4,3,36.45132964667912,16.7124,0.081,0.7184999999999999,0.659,0.73,0.096,0.634,2372.362997727989,2.0,2.0,8.28574963453093,2.0,2110.414103654721,2.0,2.0,2.985778919315635,2.0,8.039097074701552,2020-12-11 20:21:00,8.10034210798244,8.078022351935727,8.054721415430002,0.02330093650572529,8.07933998144657,0.021002126535870858
2020-12-12 09:27:00,36.748333333333335,-20.40194444444444,5,3,36.689727370721975,18.1357,0.0139999999999999,0.601,0.1664999999999999,0.1235,0.0075,0.1159999999999999,2385.012177870877,2.0,2.0,7.010731959194345,2.0,2111.0813556512826,2.0,3.0,0.8191490733634055,2.0,8.061829028776515,2020-12-12 09:27:00,8.105658973460327,8.072809305363682,8.055404266084416,0.017405039279266177,8.080022832100983,0.025636141359344222
2020-12-12 22:12:00,34.47138888888889,-22.183333333333334,6,3,36.94018882349032,19.4297,0.0304999999999999,0.5585,0.212,0.0895,0.012,0.0775,2400.335445032324,2.0,2.5,2.747031281528052,2.0,2104.932391611256,3.0,3.0,,1.0,8.078955089638146,2020-12-12 22:12:00,8.106814951435759,8.084720831705821,8.052618871044759,0.032101960661062634,8.077237437061326,0.029577514374432567
2020-12-13 10:28:00,32.24194444444444,-24.18305555555556,7,3,37.10145723908936,20.5789,0.0079999999999999,0.5555000000000001,0.1,0.077,0.005,0.072,2417.6593193919125,2.0,2.0,3.0491831992253537,2.0,2113.5389506369056,2.0,2.0,5.229383229058385,2.0,8.097692112726207,2020-12-13 10:28:00,8.109462966273451,8.077306744282494,8.053915551788224,0.023391192494269575,8.078534117804791,0.030928848468660064
2020-12-13 22:08:00,31.459722222222226,-24.694722222222225,8,3,37.2100543619702,20.7195,0.0084999999999999,0.5425,0.2684999999999999,0.052,0.009,0.043,2420.801218436703,2.0,2.0,1.833725019268968,2.0,2119.049711115225,2.0,2.0,12.463952428811352,2.0,8.099038721717072,2020-12-13 22:08:00,8.110182477094241,8.06948668988328,8.05308370818904,0.016402981694239926,8.077702274205608,0.032480202888633514
2020-12-14 07:28:00,31.281944444444445,-24.99805555555556,9,3,37.13104193129576,20.6698,0.0044999999999999,0.5445,0.225,0.0655,0.0125,0.053,2421.806217744451,2.0,2.0,4.205449075467641,2.0,2110.9673923988967,2.0,2.0,3.123084520866996,2.0,8.095785651450218,2020-12-14 07:28:00,8.111408212725623,8.08600561058269,8.050595495695388,0.03541011488730206,8.075214061711955,0.03619415101366741
2020-12-15 21:43:00,31.22361111111111,-28.44,10,3,37.0753134615236,21.433,0.008,0.505,0.2,0.0715,0.0085,0.063,2430.3272876698743,2.0,2.5,3.240101740690079,2.0,2118.4657965712195,2.0,2.0,0.2434524698282985,2.0,8.098194946036182,2020-12-15 21:43:00,8.110866429745576,8.075501071509974,8.041529313817605,0.0339717576923686,8.066147879834173,0.044718549911403116
2020-12-16 11:10:00,31.034444444444443,-29.532222222222224,11,3,36.95593622648535,20.5804,0.011,0.557,0.268,0.0445,0.0125,0.032,2411.7305670603773,2.0,2.0,2.318711095191702,2.0,2109.815954957666,2.0,2.0,4.161304658223799,2.0,8.099853028808296,2020-12-16 11:10:00,8.12184801119156,8.076203109830509,8.056159610697085,0.020043499133423737,8.080778176713652,0.04106983447790746
2020-12-17 13:49:00,31.445,-29.67083333333333,12,3,36.96692508668649,20.472,0.0049999999999999,0.5675000000000001,0.219,0.076,0.013,0.0629999999999999,2410.395139152056,2.0,2.0,2.18738210784386,2.0,2102.67286960751,2.0,3.0,3.261414556191994,2.0,8.098556706389713,2020-12-17 13:49:00,8.111668971557929,8.08754477288525,8.056486865359794,0.03105790752545623,8.081105431376361,0.030563540181567816
2020-12-17 20:52:00,31.48972222222222,-30.479444444444443,13,3,36.98362391430306,20.3899,0.0079999999999999,0.5754999999999999,0.1725,0.0735,0.0135,0.06,2410.564199153481,3.0,3.0,,1.0,2106.5389712384977,2.0,3.0,1.7738584223666294,2.0,8.094336149112078,2020-12-17 20:52:00,8.11963216447784,8.082463220160182,8.053467618007758,0.028995602152424027,8.078086184024325,0.041545980453514986
2020-12-18 22:32:00,31.236944444444447,-33.95166666666666,15,3,37.33140678730589,21.7027,0.007,0.531,0.19,0.053,0.016,0.0369999999999999,2442.39471365036,3.0,3.0,,1.0,2115.8346139112846,3.0,3.0,2.943353774906882,2.0,8.106362402214785,2020-12-18 22:32:00,8.133477725130609,8.090165876727808,8.045552464443583,0.04461341228422455,8.07017103046015,0.0633066946704588
2020-12-19 10:42:00,31.459444444444447,-34.10972222222222,16,3,37.22152318008652,21.3263,0.009,0.5375000000000001,0.161,0.429,0.0175,0.4115,2424.54870403164,3.0,3.0,,1.0,2107.215548121245,2.0,3.0,1.856565714698263,2.0,8.106954893521856,2020-12-19 10:42:00,8.159611550661513,8.085087875945192,8.05187093427077,0.03321694167442146,8.076489500287337,0.08312205037417542
2020-12-19 16:22:00,31.42833333333333,-34.09222222222222,17,3,37.18510794182495,21.3548,0.008,0.5415000000000001,0.299,0.1475,0.017,0.1305,2407.943684140241,3.0,3.0,,1.0,2110.860564094719,2.0,2.0,1.8520859358081907,2.0,8.110429379247728,2020-12-19 16:22:00,8.164589592485846,8.05423353467803,8.054964928075504,0.0007313933974746334,8.079583494092072,0.08500609839377482
2020-12-19 16:52:00,31.48111111111111,-34.14444444444444,18,3,37.18476642074928,21.3546,0.007,0.539,0.3015,0.3515,0.04,0.3114999999999999,2423.682994315276,2.0,2.0,0.426046168240191,2.0,2122.663748791879,3.0,3.0,,1.0,8.107963893209657,2020-12-19 16:52:00,8.164623115618188,8.058534666104581,8.052490562757443,0.006044103347138119,8.07710912877401,0.08751398684417744
